sigmaI,GI,sigmaII,GII
80.0,0.969,100.0,1.719
80.81632653061224,1.0155510204081633,100.81632653061224,1.7629591836734695
81.63265306122449,1.0621020408163264,101.63265306122449,1.806918367346939
82.44897959183673,1.1086530612244898,102.44897959183673,1.8508775510204083
83.26530612244898,1.155204081632653,103.26530612244898,1.8948367346938777
84.08163265306122,1.2017551020408164,104.08163265306122,1.9387959183673469
84.89795918367346,1.2483061224489795,104.89795918367346,1.9827551020408163
85.71428571428571,1.294857142857143,105.71428571428571,2.0267142857142857
86.53061224489795,1.341408163265306,106.53061224489795,2.070673469387755
87.34693877551021,1.3879591836734693,107.34693877551021,2.1146326530612245
88.16326530612245,1.4345102040816327,108.16326530612245,2.158591836734694
88.9795918367347,1.481061224489796,108.9795918367347,2.2025510204081633
89.79591836734694,1.5276122448979592,109.79591836734694,2.2465102040816327
90.61224489795919,1.5741632653061224,110.61224489795919,2.290469387755102
91.42857142857143,1.6207142857142856,111.42857142857143,2.3344285714285715
92.24489795918367,1.667265306122449,112.24489795918367,2.378387755102041
93.06122448979592,1.7138163265306123,113.06122448979592,2.4223469387755103
93.87755102040816,1.7603673469387755,113.87755102040816,2.4663061224489797
94.6938775510204,1.8069183673469387,114.6938775510204,2.510265306122449
95.51020408163265,1.853469387755102,115.51020408163265,2.554224489795918
96.3265306122449,1.9000204081632655,116.3265306122449,2.5981836734693875
97.14285714285714,1.9465714285714286,117.14285714285714,2.642142857142857
97.9591836734694,1.9931224489795918,117.9591836734694,2.6861020408163263
98.77551020408163,2.039673469387755,118.77551020408163,2.7300612244897957
99.59183673469389,2.086224489795918,119.59183673469389,2.774020408163265
100.40816326530611,2.1327755102040817,120.40816326530611,2.8179795918367345
101.22448979591837,2.179326530612245,121.22448979591837,2.861938775510204
102.04081632653062,2.225877551020408,122.04081632653062,2.9058979591836733
102.85714285714286,2.2724285714285712,122.85714285714286,2.9498571428571427
103.6734693877551,2.318979591836735,123.6734693877551,2.993816326530612
104.48979591836735,2.365530612244898,124.48979591836735,3.0377755102040815
105.3061224489796,2.412081632653061,125.3061224489796,3.081734693877551
106.12244897959184,2.4586326530612244,126.12244897959184,3.1256938775510203
106.93877551020408,2.5051836734693875,126.93877551020408,3.1696530612244898
107.75510204081633,2.551734693877551,127.75510204081633,3.213612244897959
108.57142857142857,2.5982857142857143,128.57142857142858,3.2575714285714286
109.38775510204081,2.6448367346938775,129.3877551020408,3.301530612244898
110.20408163265306,2.6913877551020406,130.20408163265307,3.3454897959183674
111.0204081632653,2.7379387755102043,131.0204081632653,3.3894489795918368
111.83673469387756,2.7844897959183674,131.83673469387756,3.433408163265306
112.65306122448979,2.8310408163265306,132.6530612244898,3.4773673469387756
113.46938775510205,2.8775918367346938,133.46938775510205,3.521326530612245
114.28571428571428,2.924142857142857,134.28571428571428,3.5652857142857144
115.10204081632654,2.97069387755102,135.10204081632654,3.609244897959184
115.91836734693878,3.0172448979591837,135.9183673469388,3.653204081632653
116.73469387755102,3.063795918367347,136.73469387755102,3.6971632653061226
117.55102040816327,3.11034693877551,137.55102040816325,3.741122448979592
118.36734693877551,3.156897959183673,138.3673469387755,3.7850816326530614
119.18367346938776,3.2034489795918364,139.18367346938777,3.829040816326531
120.0,3.25,140.0,3.873